user,ILD,model
606,0.7,CF (KNNBasic)
608,0.7,CF (KNNBasic)
607,0.7,CF (KNNBasic)
610,0.7,CF (KNNBasic)
611,0.7,CF (KNNBasic)
617,0.7,CF (KNNBasic)
618,0.7,CF (KNNBasic)
614,0.7,CF (KNNBasic)
609,0.7,CF (KNNBasic)
615,0.7,CF (KNNBasic)
616,0.7,CF (KNNBasic)
620,0.7481481481481481,CF (KNNBasic)
571,0.7555555555555555,CF (KNNBasic)
619,0.7,CF (KNNBasic)
613,0.7,CF (KNNBasic)
622,0.7111111111111111,CF (KNNBasic)
621,0.7,CF (KNNBasic)
604,0.7888888888888889,CF (KNNBasic)
624,0.7,CF (KNNBasic)
612,0.7,CF (KNNBasic)
627,0.7,CF (KNNBasic)
623,0.7,CF (KNNBasic)
628,0.7,CF (KNNBasic)
625,0.7,CF (KNNBasic)
629,0.7,CF (KNNBasic)
633,0.7,CF (KNNBasic)
632,0.7888888888888889,CF (KNNBasic)
631,0.7,CF (KNNBasic)
634,0.7,CF (KNNBasic)
639,0.7,CF (KNNBasic)
630,0.7,CF (KNNBasic)
642,0.7,CF (KNNBasic)
637,0.7,CF (KNNBasic)
640,0.7,CF (KNNBasic)
626,0.7,CF (KNNBasic)
643,0.7111111111111111,CF (KNNBasic)
598,0.7,CF (KNNBasic)
638,0.7555555555555555,CF (KNNBasic)
635,0.7,CF (KNNBasic)
644,0.7,CF (KNNBasic)
636,0.7,CF (KNNBasic)
645,0.7,CF (KNNBasic)
648,0.7,CF (KNNBasic)
647,0.7,CF (KNNBasic)
650,0.7,CF (KNNBasic)
651,0.7,CF (KNNBasic)
654,0.7,CF (KNNBasic)
653,0.7,CF (KNNBasic)
655,0.7,CF (KNNBasic)
649,0.8555555555555556,CF (KNNBasic)
658,0.6777777777777778,CF (KNNBasic)
656,0.7,CF (KNNBasic)
660,0.7,CF (KNNBasic)
659,0.7,CF (KNNBasic)
646,0.7,CF (KNNBasic)
663,0.7,CF (KNNBasic)
664,0.7,CF (KNNBasic)
657,0.7,CF (KNNBasic)
665,0.7,CF (KNNBasic)
666,0.7,CF (KNNBasic)
661,0.7,CF (KNNBasic)
662,0.7,CF (KNNBasic)
667,0.7,CF (KNNBasic)
641,0.7,CF (KNNBasic)
668,0.7,CF (KNNBasic)
673,0.7,CF (KNNBasic)
671,0.7,CF (KNNBasic)
669,0.7,CF (KNNBasic)
676,0.7,CF (KNNBasic)
674,0.7,CF (KNNBasic)
652,0.7,CF (KNNBasic)
677,0.7,CF (KNNBasic)
682,0.7,CF (KNNBasic)
679,0.7,CF (KNNBasic)
684,0.7555555555555555,CF (KNNBasic)
685,0.7,CF (KNNBasic)
683,0.7,CF (KNNBasic)
691,0.7111111111111111,CF (KNNBasic)
672,0.7,CF (KNNBasic)
692,0.7,CF (KNNBasic)
690,0.7111111111111111,CF (KNNBasic)
689,0.7,CF (KNNBasic)
686,0.7,CF (KNNBasic)
693,0.7,CF (KNNBasic)
688,0.7185185185185186,CF (KNNBasic)
697,0.7,CF (KNNBasic)
698,0.7,CF (KNNBasic)
670,0.7888888888888889,CF (KNNBasic)
694,0.7,CF (KNNBasic)
680,0.7,CF (KNNBasic)
705,0.7,CF (KNNBasic)
701,0.7,CF (KNNBasic)
699,0.7,CF (KNNBasic)
704,0.7,CF (KNNBasic)
707,0.7,CF (KNNBasic)
700,0.7555555555555555,CF (KNNBasic)
687,0.7,CF (KNNBasic)
695,0.7,CF (KNNBasic)
675,0.7,CF (KNNBasic)
708,0.7,CF (KNNBasic)
709,0.7,CF (KNNBasic)
711,0.7,CF (KNNBasic)
710,0.7,CF (KNNBasic)
712,0.7888888888888889,CF (KNNBasic)
715,0.7888888888888889,CF (KNNBasic)
713,0.7,CF (KNNBasic)
716,0.7,CF (KNNBasic)
681,0.7,CF (KNNBasic)
678,0.7481481481481481,CF (KNNBasic)
719,0.7,CF (KNNBasic)
702,0.7,CF (KNNBasic)
721,0.7,CF (KNNBasic)
714,0.7,CF (KNNBasic)
717,0.7,CF (KNNBasic)
718,0.6444444444444444,CF (KNNBasic)
696,0.7,CF (KNNBasic)
722,0.7,CF (KNNBasic)
724,0.7,CF (KNNBasic)
727,0.7,CF (KNNBasic)
725,0.7,CF (KNNBasic)
706,0.7888888888888889,CF (KNNBasic)
720,0.7,CF (KNNBasic)
729,0.7,CF (KNNBasic)
726,0.74,CF (KNNBasic)
728,0.7,CF (KNNBasic)
703,0.7,CF (KNNBasic)
738,0.7,CF (KNNBasic)
736,0.7,CF (KNNBasic)
734,0.7,CF (KNNBasic)
730,0.7,CF (KNNBasic)
743,0.7,CF (KNNBasic)
742,0.6888888888888889,CF (KNNBasic)
737,0.7111111111111111,CF (KNNBasic)
733,0.7,CF (KNNBasic)
745,0.7,CF (KNNBasic)
740,0.7,CF (KNNBasic)
735,0.7,CF (KNNBasic)
747,0.7,CF (KNNBasic)
723,0.7,CF (KNNBasic)
739,0.7,CF (KNNBasic)
749,0.7,CF (KNNBasic)
748,0.7,CF (KNNBasic)
746,0.7555555555555555,CF (KNNBasic)
731,0.6777777777777778,CF (KNNBasic)
750,0.7,CF (KNNBasic)
741,0.7,CF (KNNBasic)
751,0.7,CF (KNNBasic)
756,0.7,CF (KNNBasic)
757,0.7,CF (KNNBasic)
752,0.7,CF (KNNBasic)
758,0.7,CF (KNNBasic)
732,0.7,CF (KNNBasic)
762,0.7,CF (KNNBasic)
744,0.7,CF (KNNBasic)
754,0.7,CF (KNNBasic)
753,0.7,CF (KNNBasic)
763,0.7,CF (KNNBasic)
764,0.7,CF (KNNBasic)
767,0.7,CF (KNNBasic)
769,0.7,CF (KNNBasic)
755,0.7,CF (KNNBasic)
771,0.7,CF (KNNBasic)
768,0.7,CF (KNNBasic)
773,0.7,CF (KNNBasic)
765,0.7,CF (KNNBasic)
772,0.7,CF (KNNBasic)
766,0.7,CF (KNNBasic)
774,0.7,CF (KNNBasic)
760,0.7,CF (KNNBasic)
761,0.7888888888888889,CF (KNNBasic)
777,0.7,CF (KNNBasic)
759,0.7,CF (KNNBasic)
776,0.7111111111111111,CF (KNNBasic)
780,0.7,CF (KNNBasic)
779,0.7,CF (KNNBasic)
778,0.7888888888888889,CF (KNNBasic)
782,0.7,CF (KNNBasic)
786,0.7,CF (KNNBasic)
